fangjian_value,sum,mean,median,var,min,max
821,16.64,2.08,2.0,0.08488571428571424,1.75,2.5
822,14.400000000000002,1.8000000000000003,1.8199999999999998,0.10740000000000001,1.37,2.37
823,12.040000000000001,1.5050000000000001,1.395,0.11454285714285715,1.15,2.09
824,7.590000000000002,0.9487500000000002,0.875,0.12209821428571428,0.6,1.67
825,14.09,1.76125,1.57,0.30889821428571435,1.22,2.83
826,11.450000000000001,1.4312500000000001,1.325,0.11641250000000004,1.1,2.06
827,7.01,0.87625,0.865,0.025112500000000013,0.58,1.11
829,13.879999999999999,1.7349999999999999,1.83,0.1544571428571428,1.09,2.26
830,10.61,1.32625,1.275,0.06125535714285714,1.02,1.72
831,12.969999999999999,1.6212499999999999,1.455,0.1331267857142857,1.29,2.3
832,32.1,4.0125,4.0,0.4417071428571428,3.15,5.15
833,15.31,1.91375,1.875,0.014598214285714275,1.8,2.1
834,17.7,2.2125,2.2300000000000004,0.01939285714285714,1.94,2.36
835,9.0,1.125,1.2149999999999999,0.09291428571428574,0.62,1.55
836,7.88,0.985,0.97,0.04891428571428572,0.74,1.46
837,22.540000000000003,2.8175000000000003,2.84,0.07059285714285708,2.33,3.26
838,5.9,0.7375,0.7,0.017535714285714283,0.6,0.96
839,11.82,1.4775,1.43,0.3189928571428572,0.83,2.61
840,20.08,2.51,2.52,0.06442857142857149,2.03,2.79
841,15.559999999999999,1.9449999999999998,1.9300000000000002,0.07134285714285714,1.61,2.26
843,11.71,1.46375,1.495,0.030569642857142865,1.1,1.62
849,44.48,5.56,5.515,1.2745714285714294,3.56,7.33
850,16.31,2.03875,1.995,0.1482982142857143,1.63,2.91
851,16.270000000000003,2.0337500000000004,2.25,0.2639696428571428,0.98,2.52
852,16.96,2.12,2.26,0.26371428571428607,1.36,2.72
853,13.700000000000001,1.7125000000000001,1.615,0.12956428571428577,1.36,2.41
854,13.26,1.6575,1.74,0.23227857142857133,0.98,2.25
855,26.580000000000002,3.3225000000000002,3.26,0.10210714285714283,2.91,3.96
856,30.549999999999997,3.8187499999999996,3.7,1.2686982142857144,2.09,5.68
857,10.719999999999999,1.3399999999999999,1.335,0.1287714285714285,0.85,1.9
858,9.14,1.1425,1.145,0.24747857142857144,0.44,1.96
859,36.53,4.56625,4.720000000000001,0.3616553571428568,3.44,5.38
860,25.599999999999998,3.1999999999999997,2.355,4.2928,1.25,7.04
861,11.86,1.4825,1.55,0.23002142857142863,0.8,2.15
862,33.51,4.18875,4.1850000000000005,0.21129821428571421,3.51,4.93
863,9.48,1.185,1.185,0.06460000000000003,0.9,1.58
864,32.019999999999996,4.0024999999999995,3.8899999999999997,0.7977642857142857,2.59,5.34
865,29.589999999999996,3.6987499999999995,3.615,0.5962982142857144,2.8,5.01
866,19.299999999999997,2.4124999999999996,2.395,0.25710714285714287,1.8,3.24
867,39.669999999999995,4.958749999999999,5.02,0.26266964285714295,4.3,5.57
868,32.68,4.085,4.025,1.5965999999999998,2.29,5.66
869,41.089999999999996,5.1362499999999995,5.09,0.22282678571428566,4.49,5.79
870,38.66,4.8325,4.91,0.9163071428571428,3.52,6.1
871,15.26,1.9075,1.835,0.0739928571428572,1.62,2.37
872,39.15,4.89375,5.115,0.6879125000000001,3.55,5.99
873,22.91,2.86375,2.825,0.1135982142857143,2.49,3.39
874,5.97,0.74625,0.7050000000000001,0.020883928571428567,0.61,1.01
875,10.77,1.34625,1.3599999999999999,0.05208392857142858,1.02,1.73
876,14.250000000000002,1.7812500000000002,1.835,0.08249821428571427,1.4,2.15
877,30.74,3.8425,4.12,0.7596785714285714,2.41,4.77
878,17.88,2.235,2.285,0.23268571428571436,1.47,2.82
879,20.470000000000002,2.5587500000000003,2.565,0.07875535714285711,2.13,2.94
880,17.27,2.15875,2.12,0.06098392857142853,1.84,2.49
881,16.16,2.02,2.1100000000000003,0.11268571428571425,1.35,2.33
882,21.64,2.705,2.565,0.5328000000000003,2.0,4.4
883,0.0,0.0,0.0,0.0,0.0,0.0
884,15.43,1.92875,2.01,0.19986964285714284,0.96,2.42
885,10.72,1.34,1.315,0.08097142857142854,0.9,1.67
886,16.759999999999998,2.0949999999999998,2.13,0.0611714285714286,1.63,2.44
887,15.249999999999998,1.9062499999999998,1.835,0.039083928571428554,1.65,2.28
888,19.330000000000002,2.4162500000000002,2.5599999999999996,0.07605535714285716,2.03,2.67
889,17.83,2.22875,2.26,0.16921249999999993,1.67,3.07
890,16.84,2.105,2.07,0.10622857142857144,1.75,2.64
891,25.23,3.15375,1.82,6.161369642857143,1.51,7.36
892,13.040000000000001,1.6300000000000001,1.58,0.0774857142857143,1.22,2.13
893,17.779999999999998,2.2224999999999997,2.235,0.10610714285714277,1.8,2.79
894,22.770000000000003,2.8462500000000004,2.9000000000000004,0.11805535714285713,2.35,3.25
895,9.11,1.13875,1.05,0.10195535714285715,0.78,1.69
896,13.6,1.7,1.7200000000000002,0.08697142857142856,1.24,2.04
897,20.06,2.5075,2.48,0.0759642857142857,2.22,2.98
898,22.47,2.80875,2.9050000000000002,0.08984107142857141,2.32,3.16
899,11.870000000000001,1.4837500000000001,1.4300000000000002,0.09756964285714283,1.11,1.97
900,10.69,1.33625,1.43,0.11554107142857138,0.65,1.71
901,20.06,2.5075,2.5,0.03136428571428575,2.28,2.75
902,17.59,2.19875,2.34,0.2042982142857142,1.49,2.66
903,11.52,1.44,1.455,0.06971428571428569,1.07,1.8
904,21.839999999999996,2.7299999999999995,2.54,0.6323142857142858,1.88,4.33
905,23.260000000000005,2.9075000000000006,2.965,0.08242142857142863,2.46,3.19
906,16.38,2.0475,2.27,0.2725642857142856,1.18,2.53
907,12.459999999999999,1.5574999999999999,1.56,0.07050714285714281,1.27,2.11
908,16.93,2.11625,2.085,0.1477982142857143,1.36,2.67
909,15.489999999999998,1.9362499999999998,1.93,0.06602678571428573,1.53,2.41
910,0.0,0.0,0.0,0.0,0.0,0.0
